Group Name,Item Name,Dropdown Name,Key,Value,Type,Data
#任务栏相关设置,#将任务栏中的Cortana调整为,隐藏,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,0
#任务栏相关设置,#将任务栏中的Cortana调整为,隐藏,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,0
#任务栏相关设置,#将任务栏中的Cortana调整为,仅显示图标,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,1
#任务栏相关设置,#将任务栏中的Cortana调整为,仅显示图标,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,1
#任务栏相关设置,#将任务栏中的Cortana调整为,显示搜索框,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,2
#任务栏相关设置,#将任务栏中的Cortana调整为,显示搜索框,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,2
#任务栏相关设置,#将任务栏中的Cortana调整为,隐藏,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,0
#任务栏相关设置,#将任务栏中的Cortana调整为,隐藏,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,0
#任务栏相关设置,#将任务栏中的Cortana调整为,仅显示图标,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,1
#任务栏相关设置,#将任务栏中的Cortana调整为,仅显示图标,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,1
#任务栏相关设置,#将任务栏中的Cortana调整为,显示搜索框,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,2
#任务栏相关设置,#将任务栏中的Cortana调整为,显示搜索框,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Search,SearchboxTaskbarMode,REG_DWORD,2
#任务栏相关设置,#隐藏“任务视图”按钮,Current/Default,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced,ShowTaskViewButton,REG_DWORD,0
#任务栏相关设置,#隐藏“任务视图”按钮,Current/Default,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced,ShowTaskViewButton,REG_DWORD,0
#任务栏相关设置,#隐藏“任务视图”按钮,Current/Default,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced,ShowTaskViewButton,REG_DWORD,1
#任务栏相关设置,#隐藏“任务视图”按钮,Current/Default,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced,ShowTaskViewButton,REG_DWORD,0
#任务栏相关设置,#隐藏“任务视图”按钮,Current/Default,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced,ShowTaskViewButton,REG_DWORD,0
#任务栏相关设置,#隐藏“任务视图”按钮,Current/Default,HKEY_USERS\DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced,ShowTaskViewButton,REG_DWORD,1
#任务栏相关设置,#隐藏操作中心任务栏托盘（by Windows 10优化辅助工具）,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,HideSCAHealth,REG_DWORD,1
#任务栏相关设置,#隐藏操作中心任务栏托盘（by Windows 10优化辅助工具）,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,HideSCAHealth,REG_DWORD,1
#任务栏相关设置,#隐藏操作中心任务栏托盘（by Windows 10优化辅助工具）,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,HideSCAHealth,REG_DWORD,1
#任务栏相关设置,#隐藏操作中心任务栏托盘（by Windows 10优化辅助工具）,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,HideSCAHealth,REG_DWORD,1
#任务栏相关设置,#隐藏操作中心任务栏托盘（by 巧木）,Current/Default,HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer,DisableNotificationCenter,REG_DWORD,1
#任务栏相关设置,#隐藏操作中心任务栏托盘（by 巧木）,Current/Default,HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer,DisableNotificationCenter,REG_DWORD,1
#任务栏相关设置,#隐藏操作中心任务栏托盘（by 巧木）,Current/Default,HKEY_USERS\DEFAULT\SOFTWARE\Policies\Microsoft\Windows\Explorer,DisableNotificationCenter,REG_DWORD,1
#任务栏相关设置,#隐藏操作中心任务栏托盘（by 巧木）,Current/Default,HKEY_USERS\DEFAULT\SOFTWARE\Policies\Microsoft\Windows\Explorer,DisableNotificationCenter,REG_DWORD,1
#任务栏相关设置,#始终在任务栏显示所有图标和通知,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer,EnableAutoTray,REG_DWORD,0
#任务栏相关设置,#始终在任务栏显示所有图标和通知,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer,EnableAutoTray,REG_DWORD,0
#任务栏相关设置,#始终在任务栏显示所有图标和通知,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer,EnableAutoTray,REG_DWORD,1
#任务栏相关设置,#始终在任务栏显示所有图标和通知,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer,EnableAutoTray,REG_DWORD,0
#任务栏相关设置,#始终在任务栏显示所有图标和通知,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer,EnableAutoTray,REG_DWORD,0
#任务栏相关设置,#始终在任务栏显示所有图标和通知,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer,EnableAutoTray,REG_DWORD,1
#任务栏相关设置,#当任务栏被占满时,始终合并,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,0
#任务栏相关设置,#当任务栏被占满时,始终合并,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,0
#任务栏相关设置,#当任务栏被占满时,被占满时合并,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,1
#任务栏相关设置,#当任务栏被占满时,被占满时合并,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,1
#任务栏相关设置,#当任务栏被占满时,从不合并,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,2
#任务栏相关设置,#当任务栏被占满时,从不合并,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,2
#任务栏相关设置,#当任务栏被占满时,始终合并,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,0
#任务栏相关设置,#当任务栏被占满时,始终合并,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,0
#任务栏相关设置,#当任务栏被占满时,被占满时合并,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,1
#任务栏相关设置,#当任务栏被占满时,被占满时合并,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,1
#任务栏相关设置,#当任务栏被占满时,从不合并,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,2
#任务栏相关设置,#当任务栏被占满时,从不合并,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarGlomLevel,REG_DWORD,2
#任务栏相关设置,#锁定任务栏,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSizeMove,REG_DWORD,1
#任务栏相关设置,#锁定任务栏,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSizeMove,REG_DWORD,0
#任务栏相关设置,#锁定任务栏,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSizeMove,REG_DWORD,1
#任务栏相关设置,#锁定任务栏,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSizeMove,REG_DWORD,1
#任务栏相关设置,#锁定任务栏,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSizeMove,REG_DWORD,0
#任务栏相关设置,#锁定任务栏,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSizeMove,REG_DWORD,1
#任务栏相关设置,#任务栏使用小图标,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSmallIcons,REG_DWORD,1
#任务栏相关设置,#任务栏使用小图标,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSmallIcons,REG_DWORD,1
#任务栏相关设置,#任务栏使用小图标,Current/Default,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSmallIcons,REG_DWORD,0
#任务栏相关设置,#任务栏使用小图标,Current/Default,HKEY_USERS\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,TaskbarSmallIcons,REG_DWORD,1
